1	0.269093	-48.809876	5.710000	
2	0.333830	-50.337373	5.540000	
3	0.398765	-77.065724	4.790000	
4	0.404231	61.222801	5.580000	
5	0.456035	-3.027504	5.130000	
6	0.490079	-6.014072	4.400000	
7	0.542313	27.082256	5.800000	
8	0.583003	-29.720414	5.040000	
9	0.623760	8.485463	5.700000	
10	0.650362	66.098966	5.840000	
11	0.934958	-17.335988	4.550000	
12	1.056927	62.287664	5.870000	
13	1.082475	-16.529036	5.780000	
14	1.125494	-10.509523	4.940000	
15	1.172117	-71.436891	5.590000	
16	1.174922	67.166446	5.690000	
17	1.275625	61.313970	5.800000	
18	1.333920	-5.707618	4.620000	
19	1.424839	13.396266	5.550000	
20	1.579898	-49.075191	5.710000	
21	1.610583	64.196169	5.570000	
22	1.945416	-22.508560	5.940000	
23	2.014531	-33.529326	5.660000	
24	2.073052	-8.824112	5.990000	
25	2.096911	29.090432	2.060000	
26	2.260103	18.211963	5.560000	
27	2.294521	59.149780	2.280000	
28	2.337786	-27.987928	5.440000	
29	2.352675	-45.747426	3.880000	
30	2.509065	-82.224047	5.280000	
31	2.509176	11.145813	5.540000	
32	2.578624	-5.248588	5.850000	
33	2.580191	46.072272	5.030000	
34	2.678478	-12.579897	5.870000	
35	2.816072	-15.467978	4.900000	
36	2.893417	-27.799737	5.410000	
37	2.933369	-35.133120	5.240000	
38	3.041608	-17.938278	5.270000	
39	3.308970	15.183596	2.830000	
40	3.331758	-84.993978	5.790000	
41	3.378502	41.035370	5.720000	
42	3.426020	-26.022345	5.950000	
43	3.615118	-7.780532	5.150000	
44	3.650685	20.206702	4.800000	
45	3.660067	-18.932866	4.460000	
46	3.727145	-9.569571	5.770000	
47	4.036943	-31.446394	5.650000	
48	4.237681	61.533186	5.740000	
49	4.272910	38.681636	4.620000	
50	4.287682	47.947405	5.860000	
51	4.581904	36.785224	4.510000	
52	4.659406	31.517227	5.880000	
53	4.856978	-8.823921	3.550000	
54	5.017750	-64.874791	4.230000	
55	5.101677	30.935614	5.880000	
56	5.149423	8.190271	5.380000	
57	5.162650	-69.624913	5.500000	
58	5.189659	32.911186	5.810000	
59	5.280288	37.968603	5.160000	
60	5.369920	-77.426873	5.970000	
61	5.379992	-28.981469	5.170000	
62	5.442807	-20.058024	5.720000	
63	6.065221	52.019906	5.590000	
64	6.197940	61.831058	5.390000	
65	6.276711	53.046786	5.730000	
66	6.350868	1.939693	5.770000	
67	6.437800	-77.254246	2.820000	
68	6.550841	-43.679829	3.950000	
69	6.571046	-42.305981	2.400000	
70	6.811285	-25.547170	5.980000	
71	6.982077	-33.007167	4.870000	
72	7.012146	17.893125	5.060000	
73	7.056891	44.394452	5.190000	
74	7.110504	-39.915002	5.420000	
75	7.509825	-3.957332	5.730000	
76	7.530687	29.751557	5.220000	
77	7.583053	59.977554	5.950000	
78	7.594392	-23.787680	5.170000	
79	7.608824	-48.214910	5.670000	
80	7.854086	-48.803514	4.760000	
81	7.856833	33.581642	5.870000	
82	7.886111	-62.958218	4.340000	
83	7.921490	52.839526	5.600000	
84	7.943162	54.522289	4.740000	
85	8.099096	6.955464	5.670000	
86	8.147858	20.294316	5.370000	
87	8.182938	-63.031500	5.070000	
88	8.249965	62.931783	4.190000	
89	8.293311	54.894985	5.920000	
90	8.421010	-29.558278	5.550000	
91	8.615970	-52.373090	5.570000	
92	8.812015	-3.592849	5.200000	
93	8.886806	-0.505610	5.940000	
94	8.921567	-48.000907	5.520000	
95	9.034627	54.168450	5.090000	
96	9.113940	60.326215	5.800000	
97	9.193504	44.488587	5.150000	
98	9.197135	15.231726	5.880000	
99	9.220207	33.719344	4.350000	
100	9.242852	53.896909	3.680000	
101	9.336253	-24.767267	5.600000	
102	9.338414	35.399501	5.430000	
103	9.638941	29.311751	4.350000	
104	9.791225	49.354589	5.440000	
105	9.831983	30.861024	3.270000	
106	9.840859	21.250473	5.880000	
107	9.966458	-44.796293	6.000000	
108	9.981549	21.438495	5.430000	
109	10.106958	-59.454604	5.900000	
110	10.126835	56.537331	2.250000	
111	10.176551	-4.351841	5.900000	
112	10.279935	39.458664	5.310000	
113	10.331465	-46.085007	4.600000	
114	10.443322	-56.501316	5.710000	
115	10.514257	66.147592	5.820000	
116	10.516231	50.512526	4.810000	
117	10.618222	-65.468030	5.390000	
118	10.674791	-60.262808	5.990000	
119	10.838493	-57.463060	4.370000	
120	10.866957	47.024546	4.960000	
121	10.897380	-17.986605	2.050000	
122	10.958700	-12.011813	6.000000	
123	11.047505	-10.609551	4.770000	
124	11.050414	-38.421686	5.900000	
125	11.109132	47.863984	5.660000	
126	11.181324	48.284364	4.480000	
127	11.184982	-22.006135	5.230000	
128	11.237721	-42.676559	5.940000	
129	11.321560	55.221396	5.420000	
130	11.412824	74.988073	5.650000	
131	11.439971	-47.551985	5.800000	
132	11.548974	-22.522097	5.500000	
133	11.637326	15.475504	5.410000	
134	11.756077	11.973849	5.510000	
135	11.834689	24.267178	4.090000	
136	11.848466	6.740956	5.980000	
137	11.930085	-18.061339	5.700000	
138	11.941889	74.847573	5.430000	
139	12.004444	-21.722492	5.570000	
140	12.038073	72.674482	5.860000	
141	12.072542	7.299928	5.920000	
142	12.095738	5.280615	5.750000	
143	12.147572	-74.923438	5.080000	
144	12.170601	7.585079	4.420000	
145	12.208423	50.968168	4.910000	
146	12.244618	16.940644	5.070000	
147	12.276213	57.815187	3.450000	
148	12.308117	-24.136672	5.900000	
149	12.356732	-13.561274	5.600000	
150	12.453530	41.078911	4.540000	
151	12.470305	27.710807	5.550000	
